tick,time_s,status,available_added,requested,granted,remaining
588,35280,1,0,1445,1445,0
589,35340,1,0,1445,1445,0
590,35400,1,0,1445,92.6592,0
591,35460,1,0,1445,0,0
592,35520,1,0,1445,0,0
593,35580,1,0,1445,0,0
594,35640,1,0,1445,0,0
595,35700,1,0,5,0,0
596,35760,1,0,0,0,0
597,35820,1,0,0,0,0
598,35880,1,0,0,0,0
599,35940,1,0,0,0,0
600,36000,1,0,0,0,0
601,36060,1,0,0,0,0
602,36120,1,0,0,0,0
603,36180,1,0,0,0,0
604,36240,1,0,0,0,0
605,36300,1,0,0,0,0
606,36360,1,0,0,0,0
607,36420,1,0,0,0,0
608,36480,1,0,0,0,0
609,36540,1,0,0,0,0
610,36600,1,0,0,0,0
611,36660,1,0,0,0,0
612,36720,1,0,0,0,0
613,36780,1,0,0,0,0
614,36840,1,0,0,0,0
615,36900,1,0,0,0,0
616,36960,1,0,0,0,0
617,37020,1,0,0,0,0
618,37080,1,0,0,0,0
619,37140,1,0,0,0,0
620,37200,1,0,0,0,0
621,37260,1,0,0,0,0
622,37320,1,0,0,0,0
623,37380,1,0,0,0,0
624,37440,1,0,0,0,0
625,37500,1,0,0,0,0
626,37560,1,0,0,0,0
627,37620,1,0,0,0,0
628,37680,1,0,0,0,0
629,37740,1,0,0,0,0
630,37800,1,0,0,0,0
631,37860,1,0,0,0,0
632,37920,1,0,0,0,0
633,37980,1,0,0,0,0
634,38040,1,0,0,0,0
635,38100,1,878.454,0,0,878.454
636,38160,1,935.136,0,0,935.136
637,38220,1,991.438,0,0,991.438
638,38280,1,1047.11,0,0,1047.11
639,38340,1,1101.9,0,0,1101.9
640,38400,1,1155.56,0,0,1155.56
641,38460,1,1207.87,0,0,1207.87
642,38520,1,1258.57,0,0,1258.57
643,38580,1,1307.45,0,0,1307.45
644,38640,1,1354.28,0,0,1354.28
645,38700,1,1398.87,1776,1776,0
646,38760,1,1441,1781,1781,0
647,38820,1,1480.49,1781,1781,0
648,38880,1,1517.17,1781,1781,0
649,38940,1,1550.87,1781,1781,0
650,39000,1,1581.43,1781,1781,0
651,39060,1,1608.74,1781,1781,0
652,39120,1,1632.65,1781,1749.21,0
653,39180,1,1653.07,1781,1653.07,0
654,39240,1,1669.9,1781,1669.9,0
655,39300,1,1683.07,1781,1683.07,0
656,39360,1,1692.52,1781,1692.52,0
657,39420,1,1698.2,1781,1698.2,0
658,39480,1,1700.1,1781,1700.1,0
659,39540,1,1698.2,1781,1698.2,0
660,39600,1,1692.52,1781,1692.52,0
661,39660,1,1683.07,1781,1683.07,0
662,39720,1,1669.9,1781,1669.9,0
663,39780,1,1653.07,1781,1653.07,0
664,39840,1,1632.65,1781,1632.65,0
665,39900,1,1608.74,5,0,1608.74
666,39960,1,1581.43,0,0,1581.43
667,40020,1,1550.87,0,0,1550.87
668,40080,1,1517.17,0,0,1517.17
669,40140,1,1480.49,0,0,1480.49
670,40200,1,1441,0,0,1441
671,40260,1,1398.87,0,0,1398.87
672,40320,1,1354.28,0,0,1354.28
673,40380,1,1307.45,0,0,1307.45
674,40440,1,1258.57,0,0,1258.57
675,40500,1,1207.87,0,0,1207.87
676,40560,1,1155.56,0,0,1155.56
677,40620,1,1101.9,0,0,1101.9
678,40680,1,1047.11,0,0,1047.11
679,40740,1,991.438,0,0,991.438
680,40800,1,935.136,0,0,935.136
681,40860,1,878.454,0,0,878.454
682,40920,1,0,0,0,0
683,40980,1,0,0,0,0
684,41040,1,0,0,0,0
685,41100,1,0,0,0,0
686,41160,1,0,0,0,0
687,41220,1,0,0,0,0
688,41280,1,0,0,0,0
689,41340,1,0,0,0,0
690,41400,1,0,0,0,0
691,41460,1,0,0,0,0
692,41520,1,0,0,0,0
693,41580,1,0,0,0,0
694,41640,1,0,0,0,0
695,41700,1,0,0,0,0
696,41760,1,0,0,0,0
697,41820,1,0,0,0,0
698,41880,1,0,0,0,0
699,41940,1,0,0,0,0
700,42000,1,0,0,0,0
701,42060,1,0,0,0,0
702,42120,1,0,0,0,0
703,42180,1,0,0,0,0
704,42240,1,0,0,0,0
705,42300,1,0,0,0,0
706,42360,1,0,0,0,0
707,42420,1,0,0,0,0
708,42480,1,0,0,0,0
709,42540,1,0,0,0,0
710,42600,1,0,0,0,0
711,42660,1,0,0,0,0
712,42720,1,0,0,0,0
713,42780,1,0,0,0,0
714,42840,1,0,0,0,0
715,42900,1,0,0,0,0
716,42960,1,0,0,0,0
717,43020,1,0,0,0,0
718,43080,1,0,0,0,0
719,43140,1,0,0,0,0
720,43200,1,0,0,0,0
721,43260,1,0,0,0,0
722,43320,1,0,0,0,0
723,43380,1,0,0,0,0
724,43440,1,0,0,0,0
725,43500,1,0,0,0,0
726,43560,1,0,0,0,0
727,43620,1,0,0,0,0
728,43680,1,0,0,0,0
729,43740,1,878.454,0,0,878.454
730,43800,1,935.136,0,0,935.136
731,43860,1,991.438,0,0,991.438
732,43920,1,1047.11,0,0,1047.11
733,43980,1,1101.9,0,0,1101.9
734,44040,1,1155.56,0,0,1155.56
735,44100,1,1207.87,1368,1368,0
736,44160,1,1258.57,1373,1373,0
737,44220,1,1307.45,1373,1373,0
738,44280,1,1354.28,1373,1373,0
739,44340,1,1398.87,1373,1373,30.866
740,44400,1,1441,1373,1373,72.9983
741,44460,1,1480.49,1373,1373,112.491
742,44520,1,1517.17,1373,1373,149.169
743,44580,1,1550.87,1373,1373,182.867
744,44640,1,1581.43,1373,1373,213.434
745,44700,1,1608.74,1373,1373,240.736
746,44760,1,1632.65,1373,1373,264.648
747,44820,1,1653.07,1373,1373,285.066
748,44880,1,1669.9,1373,1373,301.897
749,44940,1,1683.07,1373,1373,315.066
750,45000,1,1692.52,1373,1373,324.515
751,45060,1,1698.2,1373,1373,330.202
752,45120,1,1700.1,1373,1373,332.1
753,45180,1,1698.2,1373,1373,330.202
754,45240,1,1692.52,1373,1373,324.515
755,45300,1,1683.07,1373,1373,315.066
756,45360,1,1669.9,1373,1373,301.897
757,45420,1,1653.07,1373,1373,285.066
758,45480,1,1632.65,1373,1373,264.648
759,45540,1,1608.74,1373,1373,240.736
